question,question_text,importance
"programs-written-in-this-language-tend-to-play-wel","Programs written in this language tend to play well with others",1
"i-would-like-to-write-more-of-this-language-than-i","I would like to write more of this language than I currently do",1
"i-would-use-this-language-for-writing-server-progr","I would use this language for writing server programs",1
"this-language-is-good-for-distributed-computing","This language is good for distributed computing",1
"programs-written-in-this-language-tend-to-be-effic","Programs written in this language tend to be efficient",1
"i-know-many-other-people-who-use-this-language","I know many other people who use this language",1
"i-often-write-things-in-this-language-with-the-int","I often write things in this language with the intent of rewriting them in something else later",0
"this-language-is-good-for-numeric-computing","This language is good for numeric computing",1
"this-language-is-suitable-for-real-time-applicatio","This language is suitable for real-time applications",1
"i-am-sometimes-embarrassed-to-admit-to-my-peers-th","I am sometimes embarrassed to admit to my peers that I know this language",-1
"it-is-too-easy-to-write-code-in-this-language-that","It is too easy to write code in this language that looks like it does one thing but actually does something else",-1
"if-this-language-didn-t-exist-i-would-have-trouble","If this language didn't exist, I would have trouble finding a satisfactory replacement",1
"this-language-is-frequently-used-for-applications-","This language is frequently used for applications it isn't suitable for",-1
"this-language-has-well-organized-libraries-with-co","This language has well-organized libraries with consistent, carefully thought-out interfaces",1
"i-can-imagine-this-will-be-a-popular-language-in-t","I can imagine this will be a popular language in twenty years time",1
"the-thought-that-i-may-still-be-using-this-languag","The thought that I may still be using this language in twenty years time fills me with dread",-1
"i-would-use-this-language-for-writing-programs-for","I would use this language for writing programs for an embedded hardware platform",0
"i-would-use-this-language-as-a-scripting-language-","I would use this language as a scripting language embedded inside a larger application",1
"this-language-has-unusual-features-that-i-often-mi","This language has unusual features that I often miss when using other languages",1
"this-language-is-likely-to-have-a-strong-influence","This language is likely to have a strong influence on future languages",1
"this-language-is-likely-to-be-a-passing-fad","This language is likely to be a passing fad",-1
"i-would-list-this-language-on-my-resume","I would list this language on my resume",1
"i-am-reluctant-to-admit-to-knowing-this-language","I am reluctant to admit to knowing this language",-1
"developers-who-primarily-use-this-language-often-b","Developers who primarily use this language often burn out after a few years",-1
"this-language-is-likely-to-be-around-for-a-very-lo","This language is likely to be around for a very long time",1
"this-language-has-a-very-coherent-design","This language has a very coherent design",1
"this-language-is-built-on-a-small-core-of-orthogon","This language is built on a small core of orthogonal features",1
"this-language-is-minimal","This language is minimal",1
"this-language-is-large","This language is large",-1
"this-language-has-many-features-which-feel-tacked-","This language has many features which feel tacked on",-1
"i-still-discover-new-features-of-this-language-on-","I still discover new features of this language on a fairly regular basis",1
"i-use-this-language-out-of-choice","I use this language out of choice",1
"this-language-makes-it-easy-to-shoot-yourself-in-t","This language makes it easy to shoot yourself in the foot",-1
"this-language-has-a-high-quality-implementation","This language has a high quality implementation",1
"i-learned-this-language-early-in-my-career-as-a-pr","I learned this language early in my career as a programmer",1
"this-language-encourages-writing-code-that-is-easy","This language encourages writing code that is easy to maintain.",1
"this-language-encourages-writing-reusable-code","This language encourages writing reusable code.",1
"learning-this-language-significantly-changed-how-i","Learning this language significantly changed how I use other languages.",1
"the-semantics-of-this-language-are-much-different-","The semantics of this language are much different than other languages I know.",-1
"if-my-code-in-this-language-successfully-compiles-","If my code in this language successfully compiles, there is a good chance my code is correct.",1
"this-language-has-a-good-library-distribution-mech","This language has a good library distribution mechanism.",1
"libraries-in-this-language-tend-to-be-well-documen","Libraries in this language tend to be well documented.",1
"code-written-in-this-language-will-usually-run-in-","Code written in this language will usually run in all the major implementations if it runs in one of them.",1
"this-language-matches-it-s-problem-domain-particul","This language matches its problem domain particularly well.",1
"this-language-is-easier-to-use-for-it-s-problem-do","This language is easier to use for its problem domain by removing unneeded expressiveness (such as not being Turing complete).",1
"this-language-would-be-good-for-teaching-children-","This language would be good for teaching children to write software",0
"this-language-is-well-suited-for-an-agile-developm","This language is well suited for an agile development approach using short iterations.",1
"i-would-recommend-most-programmers-learn-this-lang","I would recommend most programmers learn this language, regardless of whether they have a specific need for it",1
"this-is-a-mainstream-language","This is a mainstream language",1
"this-language-has-an-annoying-syntax","This language has an annoying syntax",-1
"i-often-feel-like-i-am-not-smart-enough-to-write-t","I often feel like I am not smart enough to write this language",-1
"i-use-a-lot-of-code-written-in-this-language-which","I use a lot of code written in this language which I really don't want to have to make changes to",-1
"i-often-get-angry-when-writing-code-in-this-langua","I often get angry when writing code in this language",-1
"i-would-use-this-language-for-writing-embedded-pro","I would use this language for writing embedded programs",0
